X,Y,fid,xobjectid,xloc_name,xst_ref_id,gis_id,srcid_t,srcid_i,edit_date,ftype,subtype,loc_type,loc_meth,gc_status,gc_score,street_tag,prcl_pin,address,city,state,zipcode,x_coord,y_coord,name,alias1,nghbrhd,cncldst,stfid_blk,plcdst_no,plcdst,usng,cntct_nme,cntct_phn,cntct_dpt,globalid,url
-8526744.78237816,4764901.40126557,19,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,929 N CAROLINE ST,BALTIMORE,MD,21205,434756.80940646,181514.2833774,SAVE-A-LOT, , , , ,0, , , , , ,{9671E949-5681-44FB-892B-BC8954ADA990},http://save-a-lot.com/
-8539274.12215332,4773400.4666581,20,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,6836  REISTERSTOWN RD,BALTIMORE,MD,21215,425027.65260646,188033.7129774,SAVE-A-LOT, , , , ,0, , , , , ,{3A0398AA-B3C0-4553-9AC6-03528A31F158},http://save-a-lot.com/
-8534483.03736,4770399.84611538,21,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,2701 W COLD SPRING LN,BALTIMORE,MD,21215,428745.36900646,185732.2886774,SAVE-A-LOT, , , , ,0, , , , , ,{A5F9E0C0-B979-409E-B879-F69BAF1AAA7E},http://save-a-lot.com/
-8530878.56734455,4772790.63977423,22,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,5111 ROLAND AVE,BALTIMORE,MD,21210,431529.38230646,187586.8271774,"EDDIE'S OF ROLAND PARK
EDDIE'S OF ROLAND PARK", , , , ,0, , , , , ,{99A38736-4A57-42DB-B8A2-299FD3D395E3},http://www.eddiesofrolandpark.com/
-8529109.33995732,4766509.38355682,23,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,2008 MARYLAND AVE,BALTIMORE,MD,21218,432919.45820646,182747.2401774,SAVE-A-LOT, , , , ,0, , , , , ,{C0A0DE40-5663-49DB-BF9F-88F73A09CE40},http://save-a-lot.com/
-8537744.58798983,4763816.37719755,24,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,4624 EDMONDSON AVE,BALTIMORE,MD,21229,426236.45320646,180643.8827774,GIANT FOOD STORE, , , , ,0, , , , , ,{8EEE9C84-02E8-4826-B1EF-5155EFF15905},http://www.giantfood.com/
-8530236.09383602,4765788.29987989,25,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,250 MCMECHEN ST,BALTIMORE,MD,21217,432048.80170646,182187.2240774,SAVE-A-LOT, , , , ,0, , , , , ,{86A046F9-8E1D-4750-976E-78240D4E5A0A},http://save-a-lot.com/
-8532890.98563459,4767178.7753809,26,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,2000 GWYNNS FALLS PKWY,BALTIMORE,MD,21216,429987.76399557,183252.02796696,SHOPPERS FOOD WAREHOUSE, , , , ,0, , , , , ,{C7D0D073-9443-4894-BF5E-E4F67B6864B0},http://www.shoppersfood.com/
-8527961.57892089,4768788.3002274,27,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,601 E 33RD ST,BALTIMORE,MD,21218,433801.10350646,184509.2457774,GIANT FOOD STORE, , , , ,0, , , , , ,{3C55F085-76B4-4BD1-AD58-49D00CE0C2EF},http://www.giantfood.com/
-8531546.78124751,4757298.29739447,28,0, ,0, , ,0,1970/01/01 00:00:00+00,0,14, , , ,0, , ,3400  ANNAPOLIS RD,BALTIMORE,MD,21227,431059.14360646,175629.0225774,FOOD KING SUPERMARKET, , , , ,0, , , , , ,{0199342D-F1D2-4589-8F30-9437125C90D2},none
