,address,city,state,zipcode,x_coord,y_coord,name,Full Address,Latitude,Longitude
25,2000 GWYNNS FALLS PKWY,BALTIMORE,MD,21216,429987.764,183252.028,SHOPPERS FOOD WAREHOUSE,"2000 GWYNNS FALLS PKWY, BALTIMORE, MD, 21216",39.31691,-76.65236
26,601 E 33RD ST,BALTIMORE,MD,21218,433801.104,184509.246,GIANT FOOD STORE,"601 E 33RD ST, BALTIMORE, MD, 21218",39.32778,-76.60793
27,3400  ANNAPOLIS RD,BALTIMORE,MD,21227,431059.144,175629.023,FOOD KING SUPERMARKET,"3400  ANNAPOLIS RD, BALTIMORE, MD, 21227",39.24802,-76.64023
28,843 E FORT AVE,BALTIMORE,MD,21230,434383.295,178226.086,SHOPPERS FOOD WAREHOUSE,"843 E FORT AVE, BALTIMORE, MD, 21230",39.27259,-76.61526
29,4001 ERDMAN AVE,BALTIMORE,MD,21213,437187.296,182933.431,SAVE-A-LOT,"4001 ERDMAN AVE, BALTIMORE, MD, 21213",39.31388,-76.56903
30,2401 N CHARLES ST,BALTIMORE,MD,21218,433054.239,183208.779,SAFEWAY,"2401 N CHARLES ST, BALTIMORE, MD, 21218",39.31691,-76.61627
31,3601 W COLD SPRING LN,BALTIMORE,MD,21215,427963.114,185323.947,ALDI,"3601 W COLD SPRING LN, BALTIMORE, MD, 21215",39.33528,-76.67606
32,711 W 40TH ST,BALTIMORE,MD,21211,431871.71,185446.348,MOMS ORGANIC MARKET,"711 W 40TH ST, BALTIMORE, MD, 21211",39.33698,-76.63059
33,5600 THE ALAMEDA,BALTIMORE,MD,21239,434840.84,187895.78,SHOPPERS FOOD WAREHOUSE,"5600 THE ALAMEDA, BALTIMORE, MD, 21239",39.35828,-76.59517
34,4212 FRANKFORD AVE,BALTIMORE,MD,21206,438764.136,185595.815,ALDI,"4212 FRANKFORD AVE, BALTIMORE, MD, 21206",39.33788,-76.55147
35,2401 BELAIR RD,BALTIMORE,MD,21213,436562.463,183386.544,FOOD DEPOT,"2401 BELAIR RD, BALTIMORE, MD, 21213",39.3178675,-76.5764916
36,2495 FREDERICK AVE,BALTIMORE,MD,21223,429887.101,179476.335,FOOD DEPOT,"2495 FREDERICK AVE, BALTIMORE, MD, 21223",39.2835535,-76.6558636
37,1801 WHETSTONE WAY,BALTIMORE,MD,21230,434523.806,177802.456,HARRIS TEETER,"1801 WHETSTONE WAY, BALTIMORE, MD, 21230",39.2676332,-76.5998124
38,3799 BOSTON ST,BALTIMORE,MD, ,437549.824,178595.878,HARRIS TEETER,"3799 BOSTON ST, BALTIMORE, MD,  ",39.2747952,-76.5648558
39,2905 HAMILTON AVE,BALTIMORE,MD, ,437679.06,187272.818,HARVEST FARE,"2905 HAMILTON AVE, BALTIMORE, MD,  ",39.3528997,-76.5628423
40,2159 W PATAPSCO AVE,BALTIMORE,MD, ,430518.626,175826.787,LA MART,"2159 W PATAPSCO AVE, BALTIMORE, MD,  ",39.2491141,-76.6400994
41,4601 LIBERTY HEIGHTS AVE,BALTIMORE,MD, ,426233.83,184699.569,SHOPRITE,"4601 LIBERTY HEIGHTS AVE, BALTIMORE, MD,  ",39.3281833,-76.6852384
42,222 N CHARLES ST,BALTIMORE,MD, ,433165.938,180432.211,STREETS MARKET & CAFÉ,"222 N CHARLES ST, BALTIMORE, MD,  ",39.2919884,-76.6160275
43,3801 EASTERN AVE,BALTIMORE,MD, ,437548.959,179846.816,THE MARKET AT HIGHLANDTOWN,"3801 EASTERN AVE, BALTIMORE, MD,  ",39.2865443,-76.5651159
44,2509 E MONUMENT AVE,BALTIMORE,MD,21205,476886.399,198205.373,SAVE-A-LOT,"2509 E MONUMENT AVE, BALTIMORE, MD, 21205",39.298796,-76.582013
